iter	Passed	Remaining
2407	4164	3010
2408	4165	3008
2409	4167	3007
2410	4169	3005
2411	4170	3003
2412	4172	3001
2413	4174	3000
2414	4175	2998
2415	4177	2996
2416	4179	2994
2417	4181	2993
2418	4182	2991
2419	4184	2989
2420	4186	2987
2421	4187	2985
2422	4189	2984
2423	4190	2982
2424	4192	2980
2425	4194	2979
2426	4196	2977
2427	4198	2975
2428	4200	2974
2429	4201	2972
2430	4203	2970
2431	4205	2968
2432	4206	2967
2433	4208	2965
2434	4210	2963
2435	4211	2961
2436	4213	2960
2437	4215	2958
2438	4217	2956
2439	4218	2954
2440	4220	2953
2441	4222	2951
2442	4223	2949
2443	4225	2947
2444	4227	2946
2445	4229	2944
2446	4230	2942
2447	4232	2941
2448	4234	2939
2449	4236	2937
2450	4238	2936
2451	4239	2934
2452	4241	2932
2453	4243	2930
2454	4245	2929
2455	4246	2927
2456	4248	2925
2457	4250	2924
2458	4252	2922
2459	4253	2920
2460	4255	2918
2461	4257	2917
2462	4259	2915
2463	4261	2914
2464	4262	2912
2465	4264	2910
2466	4266	2908
2467	4268	2907
2468	4270	2905
2469	4271	2903
2470	4273	2902
2471	4275	2900
2472	4277	2898
2473	4279	2897
2474	4280	2895
2475	4282	2893
2476	4284	2891
2477	4285	2890
2478	4287	2888
2479	4289	2886
2480	4290	2884
2481	4292	2883
2482	4294	2881
2483	4296	2879
2484	4297	2877
2485	4299	2876
2486	4301	2874
2487	4303	2872
2488	4304	2871
2489	4306	2869
2490	4308	2867
2491	4309	2865
2492	4311	2863
2493	4313	2862
2494	4314	2860
2495	4316	2858
2496	4318	2857
2497	4319	2855
2498	4321	2853
2499	4323	2851
2500	4325	2849
2501	4326	2848
2502	4328	2846
2503	4329	2844
2504	4331	2842
2505	4333	2840
2506	4335	2839
2507	4336	2837
2508	4338	2835
2509	4339	2833
2510	4341	2832
2511	4343	2830
2512	4344	2828
2513	4346	2826
2514	4348	2825
2515	4350	2823
2516	4351	2821
2517	4353	2819
2518	4355	2818
2519	4356	2816
2520	4358	2814
2521	4360	2812
2522	4362	2811
2523	4363	2809
2524	4365	2807
2525	4367	2806
2526	4368	2804
2527	4370	2802
2528	4372	2800
2529	4374	2799
2530	4375	2797
2531	4377	2795
2532	4379	2793
2533	4380	2791
2534	4382	2790
2535	4384	2788
2536	4385	2786
2537	4387	2785
2538	4389	2783
2539	4391	2781
2540	4392	2779
2541	4394	2778
2542	4396	2776
2543	4397	2774
2544	4399	2772
2545	4401	2770
2546	4402	2769
2547	4404	2767
2548	4406	2765
2549	4408	2764
2550	4409	2762
2551	4411	2760
2552	4413	2758
2553	4414	2757
2554	4416	2755
2555	4418	2753
2556	4419	2751
2557	4421	2749
2558	4423	2748
2559	4424	2746
2560	4426	2744
2561	4428	2743
2562	4429	2741
2563	4431	2739
2564	4433	2737
2565	4435	2736
2566	4436	2734
2567	4438	2732
2568	4440	2730
2569	4441	2728
2570	4443	2727
2571	4445	2725
2572	4447	2724
2573	4449	2722
2574	4450	2720
2575	4452	2719
2576	4454	2717
2577	4456	2715
2578	4458	2713
2579	4460	2712
2580	4461	2710
2581	4463	2708
2582	4465	2707
2583	4466	2705
2584	4468	2703
2585	4470	2701
2586	4471	2700
2587	4473	2698
2588	4475	2696
2589	4476	2694
2590	4478	2692
2591	4480	2691
2592	4481	2689
2593	4483	2687
2594	4485	2686
2595	4487	2684
2596	4488	2682
2597	4490	2680
2598	4492	2679
2599	4493	2677
2600	4495	2675
2601	4497	2673
2602	4498	2671
2603	4500	2670
2604	4502	2668
2605	4504	2666
2606	4505	2665
2607	4507	2663
2608	4509	2661
2609	4510	2659
2610	4512	2658
2611	4514	2656
2612	4515	2654
2613	4517	2652
2614	4519	2651
2615	4521	2649
2616	4523	2647
2617	4524	2646
2618	4526	2644
2619	4528	2642
2620	4529	2640
2621	4531	2639
2622	4533	2637
2623	4534	2635
2624	4536	2633
2625	4538	2632
2626	4540	2630
2627	4541	2628
2628	4543	2626
2629	4545	2625
2630	4546	2623
2631	4548	2621
2632	4550	2620
2633	4552	2618
2634	4554	2616
2635	4555	2614
2636	4557	2613
2637	4558	2611
2638	4560	2609
2639	4562	2607
2640	4564	2606
2641	4565	2604
2642	4567	2602
2643	4569	2601
2644	4571	2599
2645	4572	2597
2646	4574	2595
2647	4576	2593
2648	4577	2592
2649	4579	2590
2650	4581	2588
2651	4582	2586
2652	4584	2585
2653	4586	2583
2654	4588	2581
2655	4589	2580
2656	4591	2578
2657	4593	2576
2658	4594	2574
2659	4596	2572
2660	4598	2571
2661	4599	2569
2662	4601	2567
2663	4603	2566
2664	4605	2564
2665	4607	2562
2666	4608	2561
2667	4610	2559
2668	4611	2557
2669	4613	2555
2670	4615	2553
2671	4617	2552
2672	4619	2550
2673	4620	2548
2674	4622	2547
2675	4624	2545
2676	4625	2543
2677	4627	2541
2678	4629	2540
2679	4630	2538
2680	4632	2536
2681	4634	2534
2682	4636	2533
2683	4637	2531
2684	4639	2529
2685	4641	2528
2686	4643	2526
2687	4644	2524
2688	4646	2522
2689	4648	2521
2690	4650	2519
2691	4652	2517
2692	4654	2516
2693	4655	2514
2694	4657	2512
2695	4659	2510
2696	4660	2509
2697	4662	2507
2698	4663	2505
2699	4665	2504
2700	4667	2502
2701	4669	2500
2702	4670	2498
2703	4672	2496
2704	4674	2495
2705	4675	2493
2706	4677	2491
2707	4679	2490
2708	4680	2488
2709	4682	2486
2710	4684	2484
2711	4686	2483
2712	4687	2481
2713	4689	2479
2714	4691	2477
2715	4692	2475
2716	4694	2474
2717	4696	2472
2718	4698	2470
2719	4699	2469
2720	4701	2467
2721	4703	2465
2722	4704	2463
2723	4706	2462
2724	4708	2460
2725	4709	2458
2726	4711	2456
2727	4713	2455
2728	4714	2453
2729	4716	2451
2730	4718	2449
2731	4720	2448
2732	4721	2446
2733	4723	2444
2734	4725	2442
2735	4726	2441
2736	4728	2439
2737	4730	2437
2738	4732	2436
2739	4733	2434
2740	4735	2432
2741	4737	2430
2742	4738	2429
2743	4740	2427
2744	4742	2425
2745	4744	2423
2746	4745	2422
2747	4747	2420
2748	4749	2418
2749	4751	2417
2750	4752	2415
2751	4754	2413
2752	4756	2411
2753	4758	2410
2754	4759	2408
2755	4761	2406
2756	4763	2405
2757	4764	2403
2758	4766	2401
2759	4768	2399
2760	4769	2397
2761	4771	2396
2762	4773	2394
2763	4775	2392
2764	4776	2390
2765	4778	2389
2766	4780	2387
2767	4781	2385
2768	4783	2383
2769	4784	2382
2770	4786	2380
2771	4788	2378
2772	4790	2376
2773	4792	2375
2774	4793	2373
2775	4795	2371
2776	4796	2369
2777	4798	2368
2778	4800	2366
2779	4801	2364
2780	4803	2363
2781	4805	2361
2782	4807	2359
2783	4808	2357
2784	4810	2356
2785	4812	2354
2786	4813	2352
2787	4815	2350
2788	4817	2349
2789	4819	2347
2790	4820	2345
2791	4822	2343
2792	4824	2342
2793	4825	2340
2794	4827	2338
2795	4829	2336
2796	4831	2335
2797	4832	2333
2798	4834	2331
2799	4836	2330
2800	4838	2328
2801	4840	2326
2802	4842	2325
2803	4844	2323
2804	4845	2321
2805	4848	2320
2806	4849	2318
2807	4851	2317
2808	4853	2315
2809	4855	2313
2810	4857	2312
2811	4859	2310
2812	4861	2308
2813	4862	2306
2814	4864	2305
2815	4866	2303
2816	4868	2302
2817	4870	2300
2818	4871	2298
2819	4873	2296
2820	4875	2295
2821	4877	2293
2822	4878	2291
2823	4880	2289
2824	4882	2288
2825	4883	2286
2826	4885	2284
2827	4887	2282
2828	4888	2281
2829	4890	2279
2830	4892	2277
2831	4893	2275
2832	4895	2274
2833	4897	2272
2834	4899	2270
2835	4901	2269
2836	4902	2267
2837	4904	2265
2838	4906	2263
2839	4908	2262
2840	4909	2260
2841	4911	2258
2842	4913	2256
2843	4914	2255
2844	4916	2253
2845	4918	2251
2846	4919	2249
2847	4921	2248
2848	4923	2246
2849	4925	2244
2850	4926	2242
2851	4928	2241
2852	4930	2239
2853	4931	2237
2854	4934	2236
2855	4935	2234
2856	4937	2232
2857	4939	2231
2858	4941	2229
2859	4942	2227
2860	4944	2226
2861	4946	2224
2862	4948	2222
2863	4949	2220
2864	4951	2219
2865	4953	2217
2866	4955	2215
2867	4957	2214
2868	4958	2212
2869	4960	2210
2870	4962	2208
2871	4963	2207
2872	4965	2205
2873	4967	2203
2874	4969	2202
2875	4970	2200
2876	4972	2198
2877	4974	2196
2878	4975	2194
2879	4977	2193
2880	4979	2191
2881	4981	2189
2882	4982	2188
2883	4984	2186
2884	4986	2184
2885	4988	2182
2886	4990	2181
2887	4991	2179
2888	4993	2177
2889	4995	2176
2890	4996	2174
2891	4998	2172
2892	5000	2170
2893	5001	2169
2894	5003	2167
2895	5005	2165
2896	5006	2163
2897	5008	2162
2898	5010	2160
2899	5011	2158
2900	5013	2156
2901	5015	2155
2902	5016	2153
2903	5018	2151
2904	5020	2149
2905	5022	2148
2906	5023	2146
2907	5025	2144
2908	5027	2142
2909	5028	2141
2910	5030	2139
2911	5032	2137
2912	5034	2136
2913	5035	2134
2914	5037	2132
2915	5039	2130
2916	5041	2129
2917	5043	2127
2918	5044	2125
2919	5046	2124
2920	5048	2122
2921	5049	2120
2922	5051	2118
2923	5053	2117
2924	5054	2115
2925	5056	2113
2926	5058	2111
2927	5059	2110
2928	5061	2108
2929	5063	2106
2930	5065	2104
2931	5066	2103
2932	5068	2101
2933	5069	2099
2934	5071	2097
2935	5073	2095
2936	5074	2094
2937	5076	2092
2938	5078	2090
2939	5079	2088
2940	5081	2087
2941	5083	2085
2942	5084	2083
2943	5086	2081
2944	5088	2080
2945	5089	2078
2946	5091	2076
2947	5093	2074
2948	5094	2073
2949	5096	2071
2950	5098	2069
2951	5100	2068
2952	5101	2066
2953	5103	2064
2954	5104	2062
2955	5106	2061
2956	5108	2059
2957	5110	2057
2958	5111	2055
2959	5113	2053
2960	5115	2052
2961	5116	2050
2962	5118	2048
2963	5120	2046
2964	5121	2045
2965	5123	2043
2966	5124	2041
2967	5126	2040
2968	5128	2038
2969	5130	2036
2970	5132	2034
2971	5134	2033
2972	5136	2031
2973	5137	2029
2974	5139	2028
2975	5141	2026
2976	5143	2024
2977	5144	2023
2978	5146	2021
2979	5148	2019
2980	5150	2017
2981	5151	2016
2982	5153	2014
2983	5155	2012
2984	5156	2010
2985	5158	2009
2986	5160	2007
2987	5161	2005
2988	5163	2004
2989	5165	2002
2990	5167	2000
2991	5168	1998
2992	5170	1996
2993	5172	1995
2994	5173	1993
2995	5175	1991
2996	5177	1990
2997	5179	1988
2998	5180	1986
2999	5182	1984
3000	5184	1983
3001	5185	1981
3002	5187	1979
3003	5189	1977
3004	5190	1976
3005	5192	1974
3006	5194	1972
3007	5196	1970
3008	5197	1969
3009	5199	1967
3010	5201	1965
3011	5202	1964
3012	5204	1962
3013	5206	1960
3014	5208	1958
3015	5209	1957
3016	5211	1955
3017	5212	1953
3018	5214	1951
3019	5216	1950
3020	5217	1948
3021	5219	1946
3022	5221	1944
3023	5222	1943
3024	5224	1941
3025	5226	1939
3026	5228	1937
3027	5229	1936
3028	5231	1934
3029	5233	1932
3030	5234	1930
3031	5236	1929
3032	5238	1927
3033	5240	1925
3034	5241	1924
3035	5243	1922
3036	5245	1920
3037	5246	1918
3038	5248	1917
3039	5250	1915
3040	5251	1913
3041	5253	1911
3042	5255	1910
3043	5257	1908
3044	5258	1906
3045	5260	1904
3046	5262	1903
